Title,Year,Medium,Genetic Topic/Issue,Organism affected,Mutant is monster?,Who is doing the manipulation?,technique mentioned,Accuracy,Centrality of genetics,Theme,Attitude,Genre
"Good Doctor, The (Mutations)",2020,TV Ep,GeneDisease,human,No,NA,NA,mid,central,"Childhood, Medicine/pos, Vulnerabilty, SciDedicated",negative,Drama
"Good Doctor, The (Piece of Cake)",2021,TV Ep,GeneTherapy,human,No,Medical,NA,high,central,"SexGender, Adoption/NonBioParent, Medicine/pos",negative,Drama
"Good Doctor, The (Quiet and Loud)",2023,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,"SexGender, Medicine/pos",negative,Drama
"Good Doctor, The (SFAD)",2019,TV Ep,GeneTherapy,human,No,Medical,NA,high,peripheral,"Medicine/pos, Childhood, Vulnerability",positive,Drama
"Good Doctor, The (Take My Hand)",2019,TV Ep,GeneDisease,human,No,NA,NA,high,peripheral,"Medicine/pos, Disability",negative,Drama
"Good Doctor, The (The Uncertainty Principle)",2021,TV Ep,"GeneDisease, GeneEngHu, GeneTherapy, GeneScreen",human,No,"Private, Medical","CRISPR, viral vector",high,central,"Medicine/pos, Mortality, Vulnerability",mixed,Drama
"Good Doctor, The (Tough Titmouse)",2018,TV Ep,GeneDisease,human,Mixed,NA,NA,high,central,"Childhood, Vulnerability, Adoption/NonBioParent, Disability, Medicine/pos",negative,Drama
"Good Doctor, The (We're All Crazy Sometimes)",2021,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,"Bioethics, Mortality",negative,Drama
"Good Doctor, The (Yippee Ki-Yay)",2022,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,"Autonomy, Disability",negative,Drama
"Good Fight, The (The One Where the Nazi Gets Punched)",2019,TV Ep,"DataPrivacy, Essentialism, Biobank, GeneScreen",NA,NA,Corporation,direct to consumer testing,mid,central,"Race, Discrimination",negative,"Crime,Drama"
"Good Wife, The (Dramatics, Your Honor)",2014,TV Ep,"Forensics, DNAtoID",NA,NA,Government,touch (trace) DNA; e.g. Lukis Anderson,high,central,Forensics,mixed,"Crime,Drama,Mystery"
Gremlins 2: The New Batch,1990,Film,"Chimera/TransGen, GeneTherapy","animal, human",Yes,Academic,NA,low,peripheral,Monsters,negative,"Comedy,Fantasy,Horror"
Grey's Anatomy (A Hard Pill to Swallow & Save the Last Dance for Me & A Diagnosis & Life on Mars),2020,TV Ep,DNAtoID,NA,NA,Medical,paternity test,mid,peripheral,Adoption/NonBioParent,mixed,"Drama,Romance"
Grey's Anatomy (And Dream of Sheep),2019,TV Ep,"GeneScreen, DNAtoID",NA,NA,Corporation,direct to consumer testing,low,peripheral,Adoption/NonBioParent,positive,"Drama,Romance"
Grey's Anatomy (Can't Fight Biology),2010,TV Ep,"GeneDisease, GeneScreen",human,No,Medical,NA,mid,central,"Medicine/pos, SciDedicated, NatureVNurture, Childhood",mixed,"Drama,Romance"
Grey's Anatomy (Falling Slowly),2016,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,Medicine/pos,mixed,"Drama,Romance"
Grey's Anatomy (Hard Bargain & Transplant Wasteland),2013,TV Ep,GeneScreen,human,NA,Medical,genome mapping cancer,high,peripheral,"Medicine/pos, Vulnerability",positive,"Drama,Romance"
Grey's Anatomy (Idel Hands & Can't Fight This Feeling),2013,TV Ep,GeneScreen,human,NA,Medical,NA,high,peripheral,"Childhood, Vulnerability, Disability, Medicine/pos, Genealogy",mixed,"Drama,Romance"
Grey's Anatomy (My Favorite Mistake),2007,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,"Autonomy, Disability, Mortality",negative,"Drama,Romance"
Grey's Anatomy (Not Responsible),2011,TV Ep,"GeneScreen, GeneDisease",human,No,Medical,NA,mid,peripheral,"SexGender, Childhood, Disability, Medicine/pos",negative,"Drama,Romance"
Grey's Anatomy (Old Time Rock and Roll),2015,TV Ep,GeneDisease,human,No,NA,NA,low,peripheral,"Medicine/neg, Childhood, Vulnerability, Mortality",negative,"Drama,Romance"
Grey's Anatomy (Puttin' On the Ritz),2013,TV Ep,"DNAtoID, DataPrivacy",human,NA,Private,NA,mid,peripheral,"Mortality, SciDedicated",negative,"Drama,Romance"
Grey's Anatomy (Puzzle With a Piece Missing),2014,TV Ep,"GeneScreen, GeneDisease",human,No,Medical,NA,high,peripheral,"Medicine/pos, Mortality, SexGender, Genealogy",positive,"Drama,Romance"
Grey's Anatomy (Where Do We Go From Here & The Bed's Too Big Without You & All I Could Do Was Cry),2015,TV Ep,"GeneDisease, GeneScreen",human,No,Medical,NA,high,central,"SexGender, Religion, Vulnerability",negative,"Drama,Romance"
Growth,2010,Film,"GMOs, GeneEngHu, GeneTherapy","human, microbe",Yes,Academic,NA,low,peripheral,"SciMad, Monsters, Posthumanism",negative,"Horror,Sci-Fi"
Guardians of the Galaxy Vol. 3,2023,Film,"Chimera/TransGen, Eugenics, GeneEngHu, GMOs","animal, human",Mixed,Corporation,NA,low,peripheral,"Bioethics, Childhood, Exploitation, Prometheus,Monsters, Religion, SciNazi, Vulnerability",negative,"Action,Adventure,Comedy"
"Guyver, The",1991,Film,"Chimera/TransGen, GeneEngHu","animal, human",Mixed,Corporation,NA,low,peripheral,"Monsters, Posthumanism",mixed,"Action,Comedy,Horror"
Habitat,1997,Film,"Mutation, Evolution, Conservation, Monoculture, GeneEngHu","human, plant",Mixed,"Accident, Private",NA,low,central,"SciMad, Childhood, Monsters",positive,Sci-Fi
"Handmaid's Tale, The (entire series)",2017,TV series,"Eugenics, Sex",NA,NA,Government,NA,mid,peripheral,"SexGender, Religion, Exploitation, Adoption/NonBioParent, Autonomy",negative,"Drama,Sci-Fi,Thriller"
Hanna,2011,Film,GeneEngHu,human,No,Government,NA,low,central,"Childhood, Adoption/NonBioParent, Posthumanism",mixed,"Action,Adventure,Drama"
Hanna (entire series),2019,TV series,"GeneEngHu, Chimera/TransGen",human,Mixed,Government,NA,low,peripheral,"Childhood, Adoption/NonBioParent, Posthumanism",mixed,"Action,Drama,Fantasy"
Helix (entire series),2014,TV series,"BioWar/Terror, GMOs, GeneTherapy","microbe, human",Yes,Corporation,NA,low,peripheral,"Monsters, Vulnerability, Medicine/neg, Bioethics, Mortality, Posthumanism, SciCold",negative,"Drama,Horror,Mystery"
Hell Comes to Frogtown,1988,Film,"Mutation, Conservation","animal, human",Mixed,Accident,radiation,low,central,"SexGender, Monsters, Autonomy",negative,"Action,Comedy,Sci-Fi"
"Henderson Monster, The",1980,TV Movie,"Chimera/TransGen, Essentialism, Evolution, GeneDisease, Conservation",microbe,Yes,Academic,"recombinant DNA, restriction enzymes, plasmid",high,central,"Religion, SexGender, Prometheus, Bioethics",mixed,"Drama,Horror,Sci-Fi"
Her Secret Family Killer,2019,TV Movie,"DNAtoID, DataPrivacy, Biobank",NA,NA,Corporation,direct to consumer testing,low,central,"Adoption/NonBioParent, Forensics, Genealogy",mixed,"Adventure,Family,Fantasy"
Heroes (entire series),2006,TV series,"Evolution, GeneDisease",human,Mixed,Accident,HGP,low,peripheral,"Posthumanism, Adoption/NonBioParent, Childhood",mixed,"Drama,Fantasy,Sci-Fi"
Heroes (season 2),2007,TV series,"GMOs, BioWar/Terror",microbe,Yes,Corporation,NA,low,peripheral,"Posthumanism, Interdependence",negative,"Drama,Fantasy,Sci-Fi"
Heroes (season 3),2008,TV series,GeneTherapy,human,No,"Private, Corporation",NA,low,peripheral,"Posthumanism, Bioethics, Discrimination",mixed,"Drama,Fantasy,Sci-Fi"
Highly Dangerous,1950,Film,"BioWar/Terror, GMOs",animal,Yes,Government,NA,mid,peripheral,SciDedicated,negative,"Action,Thriller"
"Highwayman, The (Send In the Clones)",1988,TV Ep,"GeneEngHu, Cloning, BioWar/Terror",human,Mixed,Government,gene splicing,low,peripheral,"Exploitation, Disability",negative,"Action,Sci-Fi"
Hitman: Agent 47,2015,Film,"GeneTherapy, GeneEngHu, BioWar/Terror, Cloning",human,Mixed,"Private, Government",NA,low,peripheral,"Posthumanism, SciCold, Sacrifice",negative,"Action,Crime,Thriller"
House (Cane and Abel),2006,TV Ep,"Chimera/TransGen, GeneScreen, DNAtoID",human,No,Medical,IVF,high,peripheral,"Medicine/pos, Childhood",mixed,"Drama,Mystery"
House (Carrot or Stick),2011,TV Ep,GeneDisease,human,No,NA,NA,high,central,"Adoption/NonBioParent, Childhood, Medicine/pos, Genealogy",mixed,"Drama,Mystery"
House (Daddy's Boy),2005,TV Ep,"GeneDisease, GeneScreen, Mutation",human,No,"Medical, Accident",radiation,high,peripheral,"Medicine/pos, Childhood, Vulnerability",negative,"Drama,Mystery"
House (Dead and Buried),2011,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,"Genealogy, Medicine/pos",negative,"Drama,Mystery"
House (Epic Fail),2009,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,"Vulnerability, Medicine/pos",negative,"Drama,Mystery"
House (Fall from Grace),2011,TV Ep,"GeneScreen, GenetoID",human,NA,Medical,NA,mid,peripheral,"Religion, Childhood, Medicine/pos, Vulnerability",positive,"Drama,Mystery"
House (Finding Judas),2006,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,"Childhood, Vulnerability, Bioethics, SexGender",negative,"Drama,Mystery"
House (Fools for Love),2006,TV Ep,GeneDisease,human,No,NA,NA,high,peripheral,"Genealogy, Bioethics, Sacrifice, Medicine/pos",negative,"Drama,Mystery"
House (Honeymoon),2005,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,"Bioethics, Medicine/pos",negative,"Drama,Mystery"
House (Insensitive),2007,TV Ep,GeneDisease,human,No,NA,NA,mid,central,"Childhood, Medicine/pos",negative,"Drama,Mystery"
House (Joy to the World),2008,TV Ep,Sex,human,No,Medical,"paternity test, parthenogenesis",low,peripheral,"SexGender, Childhood, Medicine/neg",mixed,"Drama,Mystery"
House (Joy),2008,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,"SexGender, Medicine/pos",negative,"Drama,Mystery"
House (Let them Eat Cake),2008,TV Ep,GeneDisease,human,No,NA,NA,low,peripheral,"Medicine/pos, Discrimination",negative,"Drama,Mystery"
House (Love is Blind),2012,TV Ep,DNAtoID,human,NA,Medical,paternity test,mid,peripheral,"Adoption/NonBioParent, Disability, Medicine/pos",positive,"Drama,Mystery"
House (Mob Rules),2005,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,"Medicine/pos, LGBTQIA",negative,"Drama,Mystery"
House (Paternity),2004,TV Ep,"Mutation, DataPrivacy, DNAtoID","human, microbe",No,Medical,DNA seq,mid,central,"Adoption/NonBioParent, Childhood, Medicine/pos, Bioethics, Vulnerability",mixed,"Drama,Mystery"
House (Recession Proof),2011,TV Ep,GeneDisease,human,No,NA,NA,high,peripheral,Medicine/pos,negative,"Drama,Mystery"
House (Remorse),2010,TV Ep,GeneDisease,human,Yes,NA,NA,mid,peripheral,"Exploitation, Individualism, Medicine/pos",negative,"Drama,Mystery"
House (Selfish),2010,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,"Medicine/pos, Sacrifice, Interdependence, Disability",negative,"Drama,Mystery"
House (Skin Deep),2006,TV Ep,Sex,human,No,NA,NA,mid,peripheral,"Childhood, Vulnerability, LGBTQIA, SexGender",mixed,"Drama,Mystery"
House (Son of a Coma Guy),2006,TV Ep,"GeneScreen, GeneDisease",human,No,Medical,NA,mid,peripheral,"Medicine/pos, Bioethics, Sacrifice, Genealogy",negative,"Drama,Mystery"
House (The C-Word),2012,TV Ep,GeneDisease,human,No,NA,NA,high,central,"Medicine/neg, Childhood, Vulnerability",negative,"Drama,Mystery"
House (The Confession),2011,TV Ep,"DNAtoID, DataPrivacy",human,NA,Private,paternity test,high,central,Genealogy,negative,"Drama,Mystery"
House (The Dig),2011,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,"SexGender, Disability",negative,"Drama,Mystery"
House (The Right Stuff),2007,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,"Medicine/pos, Bioethics, Disability, Religion",negative,"Drama,Mystery"
House (The Socratic Method),2004,TV Ep,GeneDisease,human,No,NA,NA,high,peripheral,"Medicine/pos, Childhood, Disability, Sacrifice",negative,"Drama,Mystery"
House (The Softer Side),2009,TV Ep,Sex,human,No,NA,mosaicism,high,central,"Childhood, SexGender, Medicine/pos",negative,"Drama,Mystery"
House (Top Secret),2007,TV Ep,GeneDisease,human,No,NA,NA,high,peripheral,Medicine/pos,negative,"Drama,Mystery"
House (Unfaithful),2009,TV Ep,"GeneScreen, GeneDisease",human,No,Medical,NA,mid,peripheral,"Religion, Medicine/pos",mixed,"Drama,Mystery"
House (Whac-A-Mole),2006,TV Ep,"GeneDisease, GeneScreen",human,No,NA,DNA seq,mid,peripheral,"Adoption/NonBioParent, Childhood, Sacrifice, Bioethics",negative,"Drama,Mystery"
House (Who's Your Daddy?),2006,TV Ep,"DNAtoID, GeneScreen, Essentialism, Eugenics, GeneDisease",human,NA,Medical,"DNA seq, IVF, paternity test",mid,central,"Adoption/NonBioParent, SexGender, Genealogy",mixed,"Drama,Mystery"
House (Wilson's Heart & Let them Eat Cake & Joy to the World & The Greater Good),2008,TV Ep,"GeneScreen, GeneDisease",human,No,Medical,NA,high,central,"Childhood, Medicine/neg",mixed,"Drama,Mystery"
House (You Must Remember This),2011,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,"Individualism, Medicine/pos",mixed,"Drama,Mystery"
Hulk,2003,Film,Mutation,"human, animal",Mixed,"Academic, Private","radiation, nanotechnology",low,peripheral,"Adoption/NonBioParent, SciMad, Bioethics",negative,"Action,Sci-Fi"
"Human Beeing, The",2002,Film,GMOs,animal,Yes,Corporation,retrovirus,low,peripheral,"Monsters, Exploitation, Prometheus, SciMad",mixed,"Comedy,Horror,Sci-Fi"
"Hunger Games, The",2012,Film,GMOs,animal,Yes,Government,NA,low,peripheral,"Exploitation, Childhood, Sacrifice",negative,"Action,Adventure,Sci-Fi"
"Hunger Games: Catching Fire, The",2013,Film,GMOs,animal,Yes,Government,NA,low,peripheral,"Exploitation, Childhood, Sacrifice, Interdependence",negative,"Action,Adventure,Sci-Fi"
"Hunger Games: Mockingjay Part 2, The",2015,Film,GMOs,animal,Yes,Government,NA,low,peripheral,"Exploitation, Sacrifice, Autonomy",negative,"Action,Adventure,Sci-Fi"
"Hunger Games: The Ballad of Songbirds & Snakes, The",2023,Film,GMOs,animal,Mixed,"Academic, Government",NA,low,peripheral,"Exploitation, Childhood, Vulnerability, SciMad",negative,"Action,Adventure,Drama"
"Hunter, The",2011,Film,"Conservation, Biobank",animal,No,Corporation,NA,low,central,"Childhood, Sacrifice, Interdependence, Bioethics",mixed,"Adventure,Drama,Thriller"
I Am Legend,2007,Film,"Chimera/TransGen, GeneTherapy, Mutation","microbe, human",Mixed,Academic,viral vector,low,central,"Bioethics, Monsters, Posthumanism, SciDedicated, Sacrifice, Medicine/neg",mixed,"Action,Drama,Horror"
I Am Mortal,2021,TV Movie,"GeneEngHu, GeneTherapy",human,No,Corporation,NA,low,peripheral,"Autonomy, Medicine/neg, Mortality, Posthumanism, Religion, SciMad",negative,"Drama,Sci-Fi"
I Am Mother,2019,Film,Conservation,human,No,Private,NA,low,peripheral,"Mortality, Adoption/NonBioParent, Childhood, Galatea, Interdependence",mixed,"Drama,Mystery,Sci-Fi"
I Married a Monster From Outer Space,1958,Film,"Sex, Conservation",NA,NA,Government,NA,low,peripheral,"SexGender, Genealogy, Autonomy",negative,"Horror,Sci-Fi"
I Origins,2014,Film,"GMOs, Chimera/TransGen, Evolution, Biobank","human, animal",No,"Academic, Corporation",DNA seq,high,central,"Religion, SciDedicated, Mortality",positive,"Drama,Mystery,Romance"
I'm Not Jesus Mommy,2010,Film,"Cloning, OrganHarvest",human,No,Government,ancient DNA,low,peripheral,"Exploitation, SexGender, Religion, SciCold, Bioethics, Prometheus",negative,"Drama,Sci-Fi,Thriller"
Ice Spiders,2007,TV Movie,"Mutation, GMOs",animal,Yes,Academic,NA,low,peripheral,"Monsters, Prometheus",negative,"Action,Adventure,Comedy"
Identity Crisis,2023,Film,"Cloning, Essentialism","human, plant",No,Private,HGP,low,central,"Individualism, Religion, Galatea",mixed,Family
Idiocracy,2006,Film,"Essentialism, Eugenics",human,No,Corporation,NA,low,central,Exploitation,negative,"Adventure,Comedy,Sci-Fi"
"Immortal Life of Henrietta Lacks, The",2017,TV Movie,"DataPrivacy, DNAtoID, Cloning",human,No,"Academic, Medical",NA,high,peripheral,"Autonomy, Exploitation, Bioethics, Childhood, Interdependence, Genealogy, SciCold, Vulnerability, Race",mixed,"Biography,Drama,History"
"Imperfects, The",2022,TV series,"GeneDisease,  GeneEngHu, GeneTherapy",human,Mixed,Academic,NA,mid,central,"SciMad, Bioethics, Disability, Medicine/neg, Posthumanism",negative,"Action,Adventure,Drama"
"Incredible Melting Man, The",1977,Film,Mutation,human,Yes,Accident,radiation,low,peripheral,Monsters,negative,"Horror,Sci-Fi"
Infinity Pool,2023,Film,"Cloning, Eugenics",human,No,Government,NA,low,peripheral,"Individualism, Mortality",negative,"Crime,Horror,Mystery"
Inherit the Wind,1960,Film,Evolution,human,No,Government,NA,high,central,Religion,positive,"Biography,Drama,History"
Inherit the Wind,1988,Film,Evolution,human,No,Government,NA,high,central,Religion,positive,"Drama,History"
Interstellar,2014,Film,"Conservation, Biobank, Monoculture, WorldHunger, Sex","human, plant",No,"Government, Academic",NA,mid,peripheral,"Interdependence, Sacrifice, Mortality",positive,"Adventure,Drama,Sci-Fi"
Into the Dark (All That We Destroy),2019,TV Ep,"Cloning, OrganHarvest",human,No,Private,genetic memory,low,peripheral,"Bioethics, Exploitation, SexGender, Prometheus",negative,"Drama,Fantasy,Horror"
Invasion of the Bee Girls,1973,Film,Mutation,human,Yes,Academic,radiation,low,peripheral,"Monsters, SexGender, SciMad, Prometheus",negative,"Horror,Sci-Fi"
"Invasion, The",2007,Film,"BioWar/Terror, GeneEngHu, GeneDisease, Eugenics",human,Mixed,Private,NA,low,peripheral,"Medicine/pos, Autonomy, Individualism",negative,"Sci-Fi,Thriller"
Iron Sky,2012,Film,Eugenics,NA,NA,Government,NA,low,peripheral,"Race, Discrimination, SciNazi",negative,"Action,Adventure,Comedy"
"Island of Dr. Moreau, The",1977,Film,"GMOs, Chimera/TransGen, GeneTherapy, GeneEngHu","animal, human",Mixed,Private,NA,low,peripheral,"Monsters, Bioethics, SciMad, Prometheus, Exploitation, Autonomy",negative,"Adventure,Fantasy,Horror"
"Island of Dr. Moreau, The",1996,Film,"Chimera/TransGen, GMOs, DataPrivacy",animal,Mixed,Academic,NA,low,peripheral,"Adoption/NonBioParent, Autonomy, Bioethics, Monsters, Medicine/neg, NaturevNurture, Posthumanism, Prometheus, Religion, SciMad",negative,"Horror,Sci-Fi,Thriller"
Island of Lost Souls,1932,Film,"Chimera/TransGen, Evolution, GMOs, Mutation","animal, plant",Mixed,Private,induced radiation,low,central,"Bioethics, SciMad, Prometheus, Galatea, Monsters",negative,"Horror,Sci-Fi"
Island of the Doomed,1967,Film,"GMOs, Mutation",plant,Yes,Private,"irradiation of germ cell, selection screen",high,peripheral,"Interdependence, Prometheus, SciMad",negative,"Horror,Sci-Fi"
"Island, The",2005,Film,"Cloning, OrganHarvest, Biobank, Sex",human,No,Corporation,genetic memory,low,central,"Autonomy, Bioethics, Exploitation, Individualism, Medicine/neg, Prometheus, SciCold",negative,"Action,Sci-Fi,Thriller"
It's Always Sunny in Philadelphia (Reynolds vs. Reynolds: The Cereal Defense),2012,TV Ep,"Mutation, Evolution",human,No,NA,NA,high,peripheral,"Forensics, Religion",positive,Comedy
It's Always Sunny in Philadelphia (Sweet Dee Has a Heart Attack),2008,TV Ep,"GeneDisease, Essentialism",human,No,Medical,NA,mid,peripheral,"Medicine/neg, Mortality",negative,Comedy
It's Always Sunny in Philadelphia (The Gang Gets Trapped),2011,TV Ep,DNAtoID,NA,NA,Private,NA,mid,peripheral,"Forensics, Race",mixed,Comedy
It's Always Sunny in Philadelphia (Who Pooped the Bed?),2008,TV Ep,Forensics,NA,NA,Academic,NA,low,peripheral,Forensics,positive,Comedy
Johnny 2.0,1998,TV Movie,"Cloning, GeneEngHu",human,No,Corporation,genetic memory,low,central,"SciDedicated, Individualism, Mortality, Bioethics",mixed,Sci-Fi
Judge Dredd,1995,Film,"DNAtoID, Forensics, GeneEngHu, Cloning, DataPrivacy",human,No,"Government, Private",NA,low,central,"Bioethics, Individualism, Autonomy, NatureVNurture, Prometheus",negative,"Action,Crime,Sci-Fi"
Junior,1994,Film,Sex,human,No,Corporation,IVF,low,central,"SexGender, LGBTQIA, SciDedicated, Bioethics",mixed,"Comedy,Romance,Sci-Fi"
Jupiter Ascending,2015,Film,"DataPrivacy, DNAtoID, GeneEngHu, Chimera/TransGen, Essentialism, Cloning",human,Mixed,"Accident, Government",NA,low,peripheral,"Vulnerability, Individualism, Discrimination",mixed,"Action,Adventure,Sci-Fi"
Jurassic Park,1993,Film,"Chimera/TransGen, Sex, Conservation, Cloning",animal,Yes,Corporation,ancient DNA,mid,peripheral,"Prometheus, Monsters, Bioethics",negative,"Action,Adventure,Sci-Fi"
Jurassic World,2015,Film,"Chimera/TransGen, GMOs, BioWar/Terror",animal,Yes,Corporation,NA,low,peripheral,"Monsters, Prometheus, Bioethics",negative,"Action,Adventure,Sci-Fi"
